Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:53: UserWarning: train_data has been renamed data
  warnings.warn("train_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:58: UserWarning: test_data has been renamed data
  warnings.warn("test_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:43: UserWarning: train_labels has been renamed targets
  warnings.warn("train_labels has been renamed targets")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:48: UserWarning: test_labels has been renamed targets
  warnings.warn("test_labels has been renamed targets")
init done
{'quantization.global_wb': 4, 'inp_mult': 184.51858263562085, 'nb_hidden': 5893, 'nb_steps': 80, 'batch_size': 124, 'quantization.global_lr': 0.0014933597963148442, 'reg_size': 0.004486020990007263, 'mult_eq': 0.14827313916613707, 'class_method': 'integrate'}
Epoch 1: loss=28.75752
Test accuracy: 0.417
Train accuracy: 0.299
Epoch 2: loss=19.87209
Test accuracy: 0.427
Train accuracy: 0.396
Epoch 3: loss=27.58415
Test accuracy: 0.435
Train accuracy: 0.409
Epoch 4: loss=32.99889
Test accuracy: 0.433
Train accuracy: 0.410
Epoch 5: loss=36.35781
Test accuracy: 0.405
Train accuracy: 0.410
Epoch 6: loss=38.39403
Test accuracy: 0.437
Train accuracy: 0.405
Epoch 7: loss=39.77745
Test accuracy: 0.427
Train accuracy: 0.405
Epoch 8: loss=41.22039
Test accuracy: 0.433
Train accuracy: 0.404
Epoch 9: loss=42.10900
Test accuracy: 0.437
Train accuracy: 0.405
Epoch 10: loss=41.96574
Test accuracy: 0.449
Train accuracy: 0.431
Epoch 11: loss=42.48371
Test accuracy: 0.448
Train accuracy: 0.432
Epoch 12: loss=42.57261
Test accuracy: 0.446
Train accuracy: 0.431
Epoch 13: loss=42.66756
Test accuracy: 0.448
Train accuracy: 0.430
Epoch 14: loss=42.55799
Test accuracy: 0.450
Train accuracy: 0.432
Epoch 15: loss=42.69819
Test accuracy: 0.445
Train accuracy: 0.433
Epoch 16: loss=42.70834
Test accuracy: 0.450
Train accuracy: 0.433
Epoch 17: loss=42.70651
Test accuracy: 0.450
Train accuracy: 0.432
Epoch 18: loss=42.65493
Test accuracy: 0.447
Train accuracy: 0.433
Epoch 19: loss=42.77019
Test accuracy: 0.450
Train accuracy: 0.435
Epoch 20: loss=42.73178
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 21: loss=42.73667
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 22: loss=42.73731
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 23: loss=42.76457
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 24: loss=42.75866
Test accuracy: 0.452
Train accuracy: 0.434
Epoch 25: loss=42.74725
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 26: loss=42.75391
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 27: loss=42.75566
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 28: loss=42.75673
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 29: loss=42.75936
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 30: loss=42.75976
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 31: loss=42.76124
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 32: loss=42.76192
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 33: loss=42.76410
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 34: loss=42.76381
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 35: loss=42.76465
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 36: loss=42.76599
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 37: loss=42.76627
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 38: loss=42.76659
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 39: loss=42.76655
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 40: loss=42.76709
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 41: loss=42.76693
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 42: loss=42.76692
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 43: loss=42.76684
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 44: loss=42.76718
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 45: loss=42.76722
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 46: loss=42.76740
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 47: loss=42.76718
Test accuracy: 0.454
Train accuracy: 0.435
Epoch 48: loss=42.76752
Test accuracy: 0.453
Train accuracy: 0.435
Epoch 49: loss=42.76712
Test accuracy: 0.452
Train accuracy: 0.435
Epoch 50: loss=42.76793
Test accuracy: 0.453
Train accuracy: 0.435
{'quantization.global_wb': 4, 'inp_mult': 184.51858263562085, 'reg_size': 0.004486020990007263}
